"Start.Date","Month","Year","Report.Type","Security.Type","Avg.Trade.Size","PCT.of.CUSIPs","PCT.of.Par.Traded","PCT.of.Trade.Count","period"
"2000-10-01","October",2000,"Customer Bought Only","Long Note",709685.268230121,0.0117788122443222,0.0186008909543619,0.00919852500016853,"Pre-Crisis"
"2000-10-01","October",2000,"Customer Bought Only","Long Variable",766501.026560425,0.0018455823576433,0.00554334792850547,0.00253810528586548,"Pre-Crisis"
"2000-10-01","October",2000,"Customer Bought Only","Other",2416525.67396061,0.00518408802369869,0.0212129969855481,0.00308078118364018,"Pre-Crisis"
"2000-10-01","October",2000,"Customer Bought Only","Short Note",1306122.69302326,0.00201015658061786,0.00539407339725053,0.00144938283256595,"Pre-Crisis"
"2000-10-01","October",2000,"Customer Bought Only","Short Variable",3354117.48928082,0.0460572718295951,0.516903508493795,0.0540855742589609,"Pre-Crisis"
"2000-10-01","October",2000,"Customer Only Buy and Sell","Bond",150456.845010811,0.923174528704257,0.322354192689563,0.909046238982909,"Pre-Crisis"
"2000-10-01","October",2000,"Customer Only Buy and Sell","CP",7718411.91543882,0.0101723108419347,0.0677343115123685,0.00372344866244469,"Pre-Crisis"
"2000-10-01","October",2000,"Customer Only Buy and Sell","Long Note",791682.818997525,0.0111746140066536,0.0143846877019931,0.00770927999809176,"Pre-Crisis"
"2000-10-01","October",2000,"Customer Only Buy and Sell","Long Variable",940913.805291005,0.00182333873581848,0.00499872810185203,0.00225410569251136,"Pre-Crisis"
"2000-10-01","October",2000,"Customer Only Buy and Sell","Other",2541429.17132867,0.0053740510108334,0.0204311077178929,0.00341097475163095,"Pre-Crisis"
"2000-10-01","October",2000,"Customer Only Buy and Sell","Short Note",1385448.3600823,0.00186598993431715,0.00378533637105181,0.0011592543561487,"Pre-Crisis"
"2000-10-01","October",2000,"Customer Only Buy and Sell","Short Variable",3305258.3007842,0.0464151667661861,0.566311635905279,0.0726966975562632,"Pre-Crisis"
"2000-10-01","October",2000,"Customer Sold Only","Bond",206403.847909138,0.935585815189689,0.29812831160621,0.869268993203163,"Pre-Crisis"
"2000-10-01","October",2000,"Customer Sold Only","CP",7354891.97530864,0.00345154008592442,0.0323083240038443,0.00264366784434998,"Pre-Crisis"
